build_year,building_type_int,ceiling_height,flats_count,floors_total,has_elevator,floor,is_apartment,kitchen_area,living_area,rooms,total_area,district
1957,1,3.0,170,8,1,7,0,9.0,55.0,3,79.30000305175781,Ломоносовский район
1966,4,2.640000104904175,96,12,1,11,0,10.0,17.5,1,32.79999923706055,район Кузьминки
1969,4,2.5,282,9,1,1,0,6.5,18.2,1,32.8,район Чертаново Северное
1953,1,3.0,80,5,0,1,0,7.0,45.29999923706055,3,65.0,район Измайлово
1971,2,3.299999952316284,110,14,1,14,0,8.699999809265137,35.0,2,54.0,Академический район
2005,4,2.640000104904175,158,14,1,7,0,10.0,34.0,2,56.0,Бескудниковский район
2008,4,2.640000104904175,128,17,1,4,0,13.0,35.0,2,61.0,район Кузьминки
1972,4,2.640000104904175,287,9,1,8,0,6.0,43.09999847412109,3,59.70000076293945,район Печатники
1972,4,2.640000104904175,98,14,1,2,0,6.210000038146973,23.790000915527344,2,38.31999969482422,район Коньково
1970,4,2.640000104904175,570,12,1,9,0,6.0,16.0,1,30.0,район Северное Тушино
1960,1,2.640000104904175,128,9,1,2,0,6.0,17.0,1,30.0,район Измайлово
2005,4,2.740000009536743,374,17,1,7,0,13.0,44.0,3,75.19999694824219,район Солнцево
2006,4,2.900000095367432,416,16,1,13,0,8.5,20.100000381469727,1,42.20000076293945,район Косино-Ухтомский
1955,1,3.0,282,10,1,3,0,12.0,39.79999923706055,2,70.69999694824219,район Соколиная Гора
2001,4,2.640000104904175,248,22,1,22,0,10.0,34.20000076293945,2,58.0,район Крылатское
1959,1,2.700000047683716,45,5,0,2,0,9.0,20.0,1,36.400001525878906,район Марфино
2018,2,2.640000104904175,306,18,1,3,0,7.0,29.0,2,43.70000076293945,unknown
1970,1,2.700000047683716,180,9,1,5,0,6.0,29.0,2,39.0,район Ивановское
1971,1,2.700000047683716,416,9,1,6,0,3.200000047683716,13.0,1,21.200000762939453,район Богородское
1983,6,2.4800000190734863,111,16,1,6,0,10.0,20.0,1,35.0,Бутырский район
