build_year,building_type_int,ceiling_height,flats_count,floors_total,has_elevator,floor,is_apartment,kitchen_area,living_area,rooms,total_area,district
1970,1,2.56,94,12,1,3,0,7.9,23.8,2,67.7,Central
1998,5,2.95,72,10,1,3,0,7.4,36.7,2,59.1,Central
1978,1,2.83,59,15,1,3,0,14.4,30.6,3,51.9,Central
1971,5,2.64,43,8,0,1,0,14.0,18.1,2,74.2,Central
2007,3,2.61,51,5,1,2,0,9.7,30.6,3,70.6,Central
1974,1,2.57,64,6,0,2,0,10.7,28.1,3,53.3,Central
2007,5,2.66,97,16,0,3,0,13.8,34.1,2,36.3,Central
1998,1,2.67,99,23,0,2,0,11.9,34.6,2,38.9,Central
1987,3,2.86,58,24,0,4,0,12.6,27.4,3,57.6,Central
1995,3,3.13,32,19,1,2,0,9.1,32.0,3,61.6,Central
2001,6,4.5,10,50,1,45,1,50.0,150.0,5,250.0,Luxury
2013,6,4.5,10,50,1,45,1,50.0,150.0,5,300.0,Luxury
2000,6,4.5,10,50,1,45,1,50.0,150.0,5,180.0,Luxury
2001,6,4.5,10,50,1,45,1,50.0,150.0,5,400.0,Luxury
2004,6,4.5,10,50,1,45,1,50.0,150.0,5,500.0,Luxury
1850,1,2.56,94,12,1,3,0,7.9,23.8,2,67.7,OldTown
1900,5,2.95,72,10,1,3,0,7.4,36.7,2,59.1,OldTown
1920,1,2.83,59,15,1,3,0,14.4,30.6,3,51.9,OldTown
1970,1,2.56,94,12,1,3,0,7.9,23.8,2,-50.0,Error_NegArea
2050,5,2.95,72,10,1,3,0,7.4,36.7,2,59.1,Error_Future
1978,1,2.83,59,15,1,3,0,14.4,30.6,-2,51.9,Error_NegRooms
